Date,portfolio_return,selected_symbols,turnover,transaction_cost_rate,net_portfolio_return
2001-12-31,-0.015751597901415854,"XLB,XLI,XLV",1.0,0.0014317167757063,-0.017183314677122155
2002-01-31,0.04131617649589232,"XLB,XLI,XLV",0.0,0.0,0.04131617649589232
2002-02-28,0.03259640831439636,"XLI,XLV,XLY",0.6666666666666666,0.0012434396185347332,0.03135296869586163
2002-03-31,-0.034353834740113255,"XLI,XLV,XLY",0.0,0.0,-0.034353834740113255
2002-04-30,-0.0007795373157331031,"XLP,XLV,XLY",0.6666666666666666,0.0009783834480483666,-0.0017579207637814698
2002-05-31,-0.07536640631270822,"XLP,XLV,XLY",0.0,0.0,-0.07536640631270822
2002-06-30,-0.06366756511759704,"XLP,XLV,XLY",0.0,0.0,-0.06366756511759704
2002-07-31,0.01594411376055286,"XLP,XLV,XLY",0.0,0.0,0.01594411376055286
2002-08-31,-0.08883075311586038,"XLI,XLV,XLY",0.6666666666666666,0.0019221561406318165,-0.0907529092564922
2002-09-30,0.0583277973537392,"XLI,XLV,XLY",0.0,0.0,0.0583277973537392
2002-10-31,0.043142838089236614,"XLI,XLV,XLY",0.0,0.0,0.043142838089236614
2002-11-30,-0.05401941195936266,"XLI,XLV,XLY",0.0,0.0,-0.05401941195936266
2002-12-31,-0.030206136541461977,"XLI,XLV,XLY",0.0,0.0,-0.030206136541461977
2003-01-31,-0.014058077042133021,"XLI,XLV,XLY",0.0,0.0,-0.014058077042133021
2003-02-28,0.02326036399867141,"XLI,XLV,XLY",0.0,0.0,0.02326036399867141
2003-03-31,0.0860649365431961,"XLI,XLV,XLY",0.0,0.0,0.0860649365431961
2003-04-30,0.03364165152538952,"XLI,XLV,XLY",0.0,0.0,0.03364165152538952
2003-05-31,0.02469121847707208,"XLB,XLI,XLV",0.6666666666666666,0.0013116419758080998,0.02337957650126398
2003-06-30,0.032226105025770536,"XLB,XLI,XLV",0.0,0.0,0.032226105025770536
2003-07-31,0.006254907909682342,"XLI,XLP,XLV",0.6666666666666666,0.0010590147615245,0.005195893148157842
2003-08-31,0.01613060531096907,"XLP,XLU,XLV",0.6666666666666666,0.0014959661586407668,0.014634639152328302
2003-09-30,0.037984276001628084,"XLI,XLP,XLU",0.6666666666666666,0.0009629479898801499,0.037021328011747935
2003-10-31,0.011284386936051494,"XLI,XLP,XLU",0.0,0.0,0.011284386936051494
2003-11-30,0.049861292033594795,"XLI,XLP,XLU",0.0,0.0,0.049861292033594795
2003-12-31,0.010221140035911938,"XLI,XLP,XLU",0.0,0.0,0.010221140035911938
2004-01-31,0.02281159127771526,"XLI,XLP,XLU",0.0,0.0,0.02281159127771526
2004-02-29,-0.0013501710938463116,"XLI,XLP,XLU",0.0,0.0,-0.0013501710938463116
2004-03-31,-0.01000991152215332,"XLI,XLP,XLU",0.0,0.0,-0.01000991152215332
2004-04-30,0.010346655092732249,"XLI,XLP,XLU",0.0,0.0,0.010346655092732249
2004-05-31,0.02817674731297215,"XLI,XLP,XLU",0.0,0.0,0.02817674731297215
2004-06-30,-0.020711143207100845,"XLI,XLP,XLU",0.0,0.0,-0.020711143207100845
2004-07-31,0.004719609469442498,"XLK,XLP,XLU",0.6666666666666666,0.0011457660921915665,0.003573843377250932
2004-08-31,0.010520611731815954,"XLK,XLP,XLY",0.6666666666666666,0.0010715623147052665,0.009449049417110687
2004-09-30,0.02039275370065718,"XLE,XLP,XLU",1.3333333333333333,0.0014522681723406498,0.018940485528316533
2004-10-31,0.044030532472469165,"XLI,XLP,XLU",0.6666666666666666,0.0008774123289992666,0.0431531201434699
2004-11-30,0.028950604994983326,"XLI,XLP,XLU",0.0,0.0,0.028950604994983326
2004-12-31,0.0016271468895170758,"XLI,XLP,XLU",0.0,0.0,0.0016271468895170758
2005-01-31,0.010584366596023981,"XLI,XLP,XLU",0.0,0.0,0.010584366596023981
2005-02-28,-0.006962553732407653,"XLI,XLP,XLY",0.6666666666666666,0.0007584996948983333,-0.007721053427305987
2005-03-31,-0.036844299958717665,"XLI,XLP,XLY",0.0,0.0,-0.036844299958717665
2005-04-30,0.027617182303804944,"XLE,XLI,XLP",0.6666666666666666,0.0014426674724890834,0.02617451483131586
2005-05-31,0.008043350548052719,"XLE,XLI,XLP",0.0,0.0,0.008043350548052719
2005-06-30,0.04702534439502696,"XLE,XLI,XLP",0.0,0.0,0.04702534439502696
2005-07-31,0.017636828295049128,"XLE,XLP,XLU",0.6666666666666666,0.0008549440686142333,0.016781884226434896
2005-08-31,0.008453382749783134,"XLI,XLP,XLV",1.3333333333333333,0.0020652130754621,0.006388169674321034
2005-09-30,-0.016534566658705747,"XLI,XLP,XLV",0.0,0.0,-0.016534566658705747
2005-10-31,0.006549427654932383,"XLP,XLU,XLV",0.6666666666666666,0.0012760902003713334,0.00527333745456105
2005-11-30,0.01478719956237362,"XLP,XLU,XLV",0.0,0.0,0.01478719956237362
2005-12-31,0.016045194079039888,"XLK,XLP,XLV",0.6666666666666666,0.0008008284388093332,0.015244365640230555
2006-01-31,0.007467608105125552,"XLK,XLP,XLV",0.0,0.0,0.007467608105125552
2006-02-28,0.0060347034763169605,"XLK,XLP,XLV",0.0,0.0,0.0060347034763169605
2006-03-31,-0.011436543583403883,"XLK,XLP,XLV",0.0,0.0,-0.011436543583403883
2006-04-30,-0.027954815774706633,"XLK,XLP,XLV",0.0,0.0,-0.027954815774706633
2006-05-31,0.002961396719845781,"XLF,XLK,XLP",0.6666666666666666,0.0007432848689806333,0.0022181118508651475
2006-06-30,-0.014534981470173958,"XLK,XLP,XLY",0.6666666666666666,0.0006343854205653166,-0.015169366890739274
2006-07-31,0.04289799825568637,"XLK,XLP,XLY",0.0,0.0,0.04289799825568637
2006-08-31,0.018392534821270862,"XLK,XLP,XLV",0.6666666666666666,0.00046047329870569997,0.017932061522565164
2006-09-30,0.020196920389187634,"XLK,XLP,XLV",0.0,0.0,0.020196920389187634
2006-10-31,0.006234434741473708,"XLK,XLP,XLV",0.0,0.0,0.006234434741473708
